dates,PCE,PCEcore,CPI,GDPD,PCEtrim,CPItrim,CPImedian,CPIsticky,CPIcoresticky,SPFcpi10Y,SPFcpi1Y,SPFpce1Y,SPFgdpd1Y
730364,4.30051731594894,3.17468501322722,5.01643011810948,1.42150102066516,1.7839918128331,3.11954171143267,2.45029664905241,1.73554035293372,2.06188813251024,NaN,NaN,NaN,NaN
730394,2.03501314131032,2.05151462268098,2.14349565775649,NaN,1.7938145131013,1.53981165008497,1.67942425747348,2.39751936286939,2.04294239553602,NaN,NaN,NaN,NaN
730425,1.07872202163648,1.14490888331531,2.13967367238723,NaN,1.82327682610597,1.91966367960247,2.16416731789837,3.24174932989004,2.13927848742257,2.5,2.4936396129923,2.4936396129923,1.79673864207661
730455,2.778320981988,1.51983517817698,2.84697642435709,2.20354585777791,1.86254641231648,1.97477418138395,2.56908794768675,2.24510248745999,2.15838908842053,NaN,NaN,NaN,NaN
730486,3.26954467589609,2.86889229979472,3.54924837267916,NaN,1.98026272961797,3.39000695885624,3.77944188460418,4.25090186544091,2.32300313445539,NaN,NaN,NaN,NaN
730517,3.75674618930084,1.78396340002358,4.95137749340699,NaN,2.09784063851918,2.75922542803398,2.74749230068265,2.11406071733645,2.36685850384495,2.5,2.43266101237191,2.43266101237191,1.96863501191658
730546,5.15025568729257,2.45423340896771,7.03814334287785,2.64695399540393,2.21528046411333,3.69151606850198,3.35973235694586,3.24044485791923,2.46824554656174,NaN,NaN,NaN,NaN
730577,-1.00357045316528,0.792064440031837,-0.701959657338591,NaN,2.15657779145606,1.50385728145111,2.25136674020075,1.66216830019849,2.3957897875555,NaN,NaN,NaN,NaN
730607,1.00357045316528,1.28412525008166,2.10464830331603,NaN,2.19571673520421,2.82148041478769,2.81357887307211,3.161168596856,2.54107224926032,2.5,2.57284180174678,2.57284180174678,2.19084817037807
730638,4.0674349160593,0.910000727353477,6.98895394318626,2.48563314353092,2.244618882983,3.28350354250058,3.09416757543765,2.923475976417,2.67915224834368,NaN,NaN,NaN,NaN
730668,2.99552746874099,2.74074744895536,3.47927179080294,NaN,2.27394869694893,3.17100647628155,3.37863907880787,3.12651949202364,2.68755988727665,NaN,NaN,NaN,NaN
730699,-0.0767150611110878,1.53149434396234,0,NaN,2.2934971282496,2.40359108474326,2.83512833392298,3.56014168649637,2.8445417610298,2.5,2.67633780290562,2.67633780290562,2.34655349260056
730730,5.14437421063434,2.90891243799543,6.23738048834106,2.33741935074008,2.3618865598634,3.13749470281363,3.02259023364198,2.09663132326478,2.86729342481785,NaN,NaN,NaN,NaN
